,name_en,notes
14,Essam Bhar,"Bhar, a journalist for the Al-Aqsa TV, was killed in an Israeli airstrike in the northern Gaza Strip, according to TRT Arabia and the Cairo-based Arabic newspaper Shorouk News."
15,Muhammad Baloshah,"Balousha, a journalist and the administrative and financial manager of the local media channel “Palestine Today” office in Gaza, was killed in an Israeli airstrike on the Al-Saftawi neighborhood in northern Gaza, reported Anadolu news agency and The Guardian."
16,Abdal-hadi Habib,"A journalist who worked for Al-Manara News Agency and HQ News Agency, Habib was killed along with several of his family members when a missile strike hit his house near the Zeitoun neighborhood, south of Gaza City, according to the Palestinian Journalists’ Syndicate and the independent Palestinian news organization International Middle East Media Center."
17,Ali Nisaman,
18,Anas Abu Shamala,
19,Samaih al-Nadi,"A journalist and director for the  Al-Aqsa TV, Al-Nady was killed in an Israeli airstrike in the Gaza Strip, according to the Palestinian Journalists’ Syndicate and the Palestinian press agency Safa."
20,Khalil Abu Aathra,"A videographer for the Al-Aqsa TV, Abu Aathra was killed along with his brother in an Israeli airstrike in Rafah in the southern Gaza Strip, as reported by the Palestinian Journalists’ Syndicate and the Amman-based news outlet Roya News."
21,Mahmoud Abu Tharefa,
22,Muhammad Ali,"A journalist from Al-Shabab Radio (Youth Radio), Ali was killed in an Israeli airstrike in the northern Gaza Strip, according to the Palestinian Journalists’ Syndicate and the Cairo-based Al-Dostor newspaper."
23,Iman al-Aqailai,
24,Muhammad Labad,"A journalist for the Al Resalah news website, Labad was killed in an Israeli airstrike on the Sheikh Radwan neighborhood in Gaza City, according to RT Arabic and the Palestinian Authority’s official news agency Wafa."
25,Muhammad Alshoarabji,
26,Rushdi Alsraj,"A journalist and co-founder of Ain Media, a Palestinian company specializing in professional media services, Sarraj was killed in an Israeli airstrike in the Gaza Strip, according to the Palestinian Authority’s official news agency Wafa and Sky News."
27,Muhammad Alhasani,
28,Sayed Halabi,"Al-Halabi, a journalist for the Al-Aqsa TV, was killed in an Israeli airstrike in the Jabalia refugee camp in the northern Gaza Strip, according to the Palestinian Journalists’ Syndicate, the Palestinian press freedom group MADA, and Al-Jazeera."
29,Jamal Alfaqaaoi,"Al-Faqaawi, a Palestinian journalist for the Mithaq Media Foundation, was killed in an Israeli airstrike on his home in Khan Yunis in southern Gaza, according to Al-Jazeera, the Palestinian Journalists’ Syndicate, the Palestinian News Network, and the International Federation of Journalists."
30,Ahmed Abu Mhadi,"A journalist for the Al-Aqsa TV, Mhadi was killed in an Israeli airstrike in the Gaza Strip, according to the Palestinian Journalists’ Syndicate and Youm7."
31,Yasr Abu Namoos,"Palestinian journalist Yasser Abu Namous of Al-Sahel media organization was killed in a strike on his family home in Khan Yunis, Gaza, according to the Palestinian Authority’s official news agency Wafa, Al-Jazeera, and the Al-Quds network."
32,Salma Mukhiamar,"Mkhaimer, a freelance journalist, was killed alongside her child in an Israeli airstrike in Rafah city in the southern Gaza Strip, according to the Palestinian Journalists’ Syndicate and the independent Egyptian online newspaper Mada Masr."
33,Duaa Shraf,"Palestinian journalist Sharaf, host for the Radio Al-Aqsa, was killed with her child in a strike on her home in the Yarmouk neighborhood in Gaza, according to Anadolu news agency and Middle East Monitor."
34,Salam Mema,"The death of Mema, a freelance journalist, was confirmed on this date. Mema held the position of head of the Women Journalists Committee at the Palestinian Media Assembly, an organization committed to advancing media work for Palestinian journalists. Her body was recovered from the rubble three days after her home in the Jabalia refugee camp, situated in the northern Gaza Strip, was hit by an Israeli airstrike on October 10, according to the Palestinian Journalists’ Syndicate and the Palestinian Authority’s official news agency Wafa."
35,Majed Kshko,"Kashko, a media worker and the office director of the Palestine TV channel, was killed with his family members in an Israeli airstrike in the Gaza Strip, according to a statement issued by the channel, the Palestinian Authority’s official news agency Wafa, and the Palestinian Journalists’ Syndicate."
36,Emad Alohaidi,"A media worker and administrator for the Palestine TV channel, Al-Wahidi was killed with his family members in an Israeli airstrike in the Gaza Strip, according to a statement issued by the channel, the Palestinian Authority’s official news agency Wafa, and the Palestinian Journalists’ Syndicate."
37,Hthifah al-Najar,
38,Nizmai Alnadiam,"Al-Nadim, a deputy director of finance and administration for Palestine TV, was killed with members of his family in a strike on his home in Zeitoun area, eastern Gaza, according to the Palestinian Authority’s official news agency Wafa and Egypt’s state-run Middle East News Agency."
39,Mjad Arnads,"A member of the Palestinian Journalists’ Syndicate who worked for the news website Al-Jamaheer, Arandas was killed in an Israeli airstrike in the Nuseirat refugee camp in the Gaza Strip, according to the Palestinian Journalists’ Syndicate and the Beirut-based press freedom group SKeyes."
40,Eyad Motar,"Matar, a journalist working for the  Al-Aqsa TV, was killed along with his mother in an Israeli airstrike in the Gaza Strip, according to the Amman-based news outlet Roya News and the local channel Palestine Today."
41,Muhammad Albiari,"Al-Bayyari, a Palestinian journalist with the  Al-Aqsa TV channel, was killed in an Israeli airstrike on Gaza City, according to the Amman-based news outlet Roya News, the Palestinian Authority’s official news agency Wafa, the Palestinian Journalists’ Syndicate, and the International Federation of Journalists."
42,Muhammad Abu Hatab,"A journalist and correspondent for the broadcaster Palestine TV, Abu Hatab was killed along with 11 members of his family in an Israeli airstrike on their home in Khan Yunis, southern Gaza Strip, according to the Palestinian Authority’s official news agency Wafa and the Amman-based news outlet Roya News."
43,Zahir al-Afghani,
44,Mustafa Alnqaib,
45,Hitham Harara,
46,Muhammad al-Jaja,"Al Jaja was a media worker and the organizational development consultant at Press House-Palestine, which owns Sawa news agency in Gaza and promotes press freedom and independent media. He was killed in a strike on his home along with his wife and two daughters in the Al-Naser neighborhood in northern Gaza, according to the London-based news website The New Arab, the Beirut-based press freedom group SKeyes, and the Palestinian Journalists’ Syndicate."
47,Yahya Abu Manih,"A journalist with  Al-Aqsa radio channel, Abu Manih was killed in a strike in the Gaza strip, according to the Amman-based news outlet Roya News, Al-Jazeera, and the Beirut-based press freedom group SKeyes."
48,Muhammad Abu Hassira,"Abu Hassira, a journalist for the Wafa news agency, was killed in a strike on his home in Gaza along with 42 family members, according to the Palestinian Authority’s official news agency Wafa, the London-based news website The New Arab, and the Palestinian Journalists’ Syndicate."
49,Mahmoud Motar,"Mohamed Fayez Abu Matar, a freelance photojournalist, was killed during an Israeli airstrike in Rafah city in the southern Gaza Strip, according to the Palestinian Journalists’ Syndicate and the Palestinian Authority’s official news agency Wafa."
50,Ahmed Aliqura,"Al-Qara, a photojournalist who worked for Al-Aqsa University and was also a freelancer, was killed in a strike at the entrance of Khuza’a town, east of the southern city of Khan Yunis, according to the Palestinian Journalists’ Syndicate and the Cairo-based Al-Dostor newspaper."
51,Mousa al-Barash,
52,Ahmed Fatima,"A photographer for the Egypt-based Al Qahera News TV and a media worker with Press House-Palestine, Fatima was killed in a strike in Gaza, according to Al Qahera News TV, the Egypt-based Ahram Online, the Palestinians Journalists’ Syndicate, and the Amman-based news outlet Roya News."
53,Yaqob al-Barash,"Al-Barsh, executive director of the local Namaa Radio, was killed after sustaining injuries on November 12 from an Israeli airstrike on his home in northern Gaza, according to the Beirut-based press freedom group SKeyes, the Ramallah-based Palestinian news network SHFA, and the Palestinian press freedom group MADA."
54,Amaro Abu Haya,"A Palestinian media worker in the broadcast department of the  Al-Aqsa TV channel, Abu Hayah was killed in a strike in Gaza, according to the Amman-based news outlet Roya News and the Palestinian Journalists’ Syndicate."
55,Mustafa Alswaf,"El Sawaf, a Palestinian writer and analyst who contributed to the local news website MSDR News, was killed in an Israeli airstrike on his home along with his wife and two of his sons in Shawa Square, Gaza City, according to the Beirut-based press freedom group SKeyes, the Palestinian Journalists’ Syndicate, and the Cairo-based Youm7."
56,Abdul-halim Aodh,"A Palestinian media worker and driver for the  Al-Aqsa TV, Awad was killed in a strike on his home in the Gaza Strip, according to the London-based Al-Ghad TV, the Palestinian Journalists’ Syndicate, and the Beirut-based press freedom group SKeyes. Awad had been working full-time since the beginning of the war in Khan Yunis and had left to visit his family last week, his colleague Ziad AlMokayyed told CPJ via messaging app."
57,Sari Munasoar,"Mansour, director of the Quds News Network, and his colleague and friend Hassouneh Salim were killed in an Israeli airstrike on the Bureij refugee camp in central Gaza, according to the Cairo-based Elwatan news, the Palestinian Journalists’ Syndicate, Al-Jazeera, and Anadolu news agency."
58,Husaonah Esleem,"Salim, a Palestinian freelance photojournalist, was killed in an Israeli airstrike on the Bureij refugee camp in central Gaza, along with his colleague and friend Sari Mansour, according to the Amman-based news outlet Roya News, Al-Jazeera, and the Palestinian Journalists’ Syndicate."
59,Bilal Jadallah,"Jadallah, director of Press House-Palestine, a non-profit which supports the development of independent Palestinian media, was killed in his car in Gaza in an Israeli airstrike, according to the Palestinian Journalists’ Syndicate, Al Qahera News, and the Cairo-based Youm7."
60,Alaaa Alnmar,
61,Ayat Khadoura,"Khadoura, a Palestinian freelance journalist and podcast presenter, was killed along with an unknown number of family members in an Israeli airstrike on her home in Beit Lahya in northern Gaza, according to the Beirut-based press freedom group SKeyes, the news website Arabi 21, and London-based Al-Ghad TV. Khadoura shared videos on social media about the situation in Gaza, including a November 6 video, which she called “my last message to the world” where she said, “We had big dreams but our dream now is to be killed in one piece so they know who we are.”"
62,Muhammad Alzq,"Al-Zaq, a Palestinian journalist and a social media manager for the Al-Quds TV, was killed in an Israeli airstrike on Shejaiya in northern Gaza, according to the Amman-based news outlet Roya News, the Ramallah-based news website Wattan TV, the Palestinian Journalists’ Syndicate, and the International Federation of Journalists."
63,Aasm al-Barash,
64,Muhammad Aiish,"Ayyash, a Palestinian journalist and a freelance photographer, was killed in an Israeli airstrike on his home in Nuseirat refugee camp in central Gaza, along with 20 members of his family, according to the Amman-based news outlet Roya News, the Palestinian Journalists’ Syndicate, and the Palestinian Authority’s official news agency Wafa."
65,Mustafa Bkir,"Bakeer, a Palestinian journalist and cameraperson for the  Al-Aqsa TV, was killed in an Israeli airstrike in Rafah, southern Gaza, according to the  Al-Aqsa radio, the Palestinian Journalists’ Syndicate, and the International Federation of Journalists."
66,Amal Zuhad,
67,Musab Ashour,"Ashour, a Palestinian photographer, was killed during an attack on the Nuseirat refugee camp in the Gaza Strip but his death was not reported until November 18, soon after his body was discovered, according to the Palestinian Journalists’ Syndicate, TRT Arabi, and Anadolu news agency."
68,Nadr Alnazlai,
69,Jamal Hniah,
70,Abdullah Daroish,"A Palestinian cameraman for the  Al-Aqsa TV, Darwish was killed in an Israeli airstrike in the Gaza Strip, according to the Amman-based news outlet Roya News, the Palestinian Journalists’ Syndicate, and the International Federation of Journalists."
71,Muntsar Alswaf,"Al-Sawaf, a Palestinian cameraman for Anadolu news agency, was killed in Israeli airstrikes in the Gaza Strip, according to Anadolu news agency, Middle East Monitor, and the International Federation of Journalists."
72,Marawan Alswaf,
73,Adham Husaonah,"Hassouna, a Palestinian freelance journalist and media professor at Gaza and Al-Aqsa universities, was killed, along with several family members in an Israeli airstrike in Gaza City, according to the Ramallah-based Palestinian news network SHF, the Beirut-based press freedom group SKeyes, and the Palestinian Journalists’ Syndicate."
74,Muhammad Farajallah,
75,Hthifah Lolo,
76,Hassan Farajallah,"Farajallah, who held a senior position with the  Al-Quds TV, was killed by Israeli bombardment in the Gaza Strip, according to the Palestinian Journalists’ Syndicate and the International Federation of Journalists."
77,Shaimaa Aljzar,"A Palestinian journalist for Al-Majedat network, El-Gazzar was killed along with her family members in an Israeli airstrike on Rafah city, southern Gaza, according to the Beirut-based press freedom group SKeyes and the Cairo-based media outlet Darb."
78,Mahmoud Salem,
79,Abdalihamaid Aliqurinaoi,
80,Hamadah al-Yaziji,
81,Husam Ammar,
82,Alaa Aataallah,"Atallah, a Palestinian freelance journalist who contributed to multiple media outlets, was killed in an Israeli airstrike on the house in which she and her family were taking refuge, in the El-Daraj area of Gaza City, northern Gaza, according to Arabi 21, Turkey’s Anadolu news agency, and the Palestinian Journalists’ Syndicate. Those sources said that Atallah was killed with nine members of her family, including her brother and her uncles. On November 27, Atallah wrote an article for the Al-Morasel website about life in Gaza during the war, describing the destruction and damage to her neighborhood and city. Atallah worked as a reporter for Anadolu news agency until 2017. Atallah was well-known on social media, and her last tweet on December 8 asked, “How many more nights of terror and death does Gaza have to count?”"
83,Duaa Jabbour,"Jabbour, a Palestinian freelance journalist who worked with the local website Eyes Media Network, was killed in an Israeli airstrike on her home along with her husband and children in Khan Yunis, southern Gaza, according to the Palestinian Journalists’ Syndicate, the Beirut-based press freedom group SKeyes, Anadolu news agency, and the Qatar-funded London-based Al-Araby Al-Jadeed. In her last Facebook post, Jabbour wrote: “To survive everyday is exhausting.”"
84,Nrmain Qawas,
85,Muhammad Abu Samra,
86,Abd Aodah,
87,Ahmed Abu Absah,
88,Hanan Aiad,
89,Samer Abu Daqqa,"Abu Daqqa, a camera operator for Al-Jazeera Arabic, was killed by a drone strike while covering the aftermath of nightly Israeli strikes on a United Nations school sheltering displaced people in the center of Khan Yunis, southern Gaza, according to Al-Jazeera and Reuters news agency. He was trapped with other injured people in the school, which was surrounded by Israeli forces, and was unable to be evacuated for treatment. His colleague, Al-Jazeera bureau chief Wael Al Dahdouh, was injured in the same strike."
90,Rami Badir,
91,Aasm Kamal Mousa,"Moussa, a Palestinian journalist who produced visual and written news reports for the local privately owned news website Palestine Now, was killed in an Israeli airstrike on Khan Yunis, southern Gaza, according to his outlet, Lebanon’s Hezbollah-affiliated broadcaster Al-Mayadeen, and the  Al-Aqsa radio channel."
92,Ali Ashour,
93,Mshal Shahwan,
94,Hanin Aliqtshan,"Kashtan, a Palestinian journalist who contributed to multiple media outlets including the local Fatah-affiliated Al-Kofiya TV and the local privately owned Baladna TV, was killed in an Israeli airstrike on Nuseirat refugee camp in northern Gaza, along with other family members, according to the Palestinian Journalists’ Syndicate, Al-Jazeera, and the Cairo-based Youm7."
95,Abdullah Alwan,"Alwan, a Palestinian media worker and voice-over specialist who contributed to multiple media outlets including the Al-Jazeera owned platform Midan, Mugtama magazine, and Al-Jazeera, and was a radio host for the Islamic University’s Holy Quran Radio, was killed in an Israeli airstrike on his home in Jabalia, according to his outlet Midan, the  Al-Aqsa Radio, the local Palestinian newspaper Al-Hadath, and Amman-based Roya TV. In his last Facebook post on December 17, Alwan wrote that “On every morning, we say that last night was the worst night in the war… All days are worse than each other. This briefly describes the war.” On November 30, Alwan posted photos of damage to his home by Israeli bombing, saying two of his nieces were killed in the strikes."
96,Adel Zarab,"Zorob, a Palestinian freelance journalist who worked with multiple media outlets, including the  Al-Aqsa Voice Radio, was killed in an Israeli airstrike on his home in Rafah, southern Gaza, along with 25 family members, according to the Palestinian Journalists’ Syndicate, the Middle East Eye, the Palestinian Authority-run news agency Wafa, and the independent Wattan news agency. Zorob posted Gaza war news on his Facebook page and on WhatsApp news groups. The last news message was sent directly before his death, according to a WhatsApp screenshot CPJ viewed. The Zorob family were among the few Palestinians in Gaza who remained in their own homes in a war that has displaced some 1.9 million people — more than 80% of the territory’s population, according to the Associated Press."""
97,Alaaa Abu Muammar,
98,Muhammad Khalifa,"Khalifeh, a media worker and director at the  Al-Aqsa TV channel was killed in an Israeli airstrike on his home in Nuseirat refugee camp in central Gaza, along his wife and three of his children, according to his outlet, Anadolu news agency, the Lebanese Hezbollah-affiliated Al-Mayadeen TV, and the privately owned news channel Al-Ghad TV."
99,Muhammad Abu Huwaidi,"Abu Huwaidi, a 29-year-old Palestinian journalist working for the privately owned Al-Istiklal newspaper, was killed in an Israeli airstrike on the Shajaiah area in northern Gaza while covering the aftermath of the airstrikes, according to the Palestinian Journalists’ Syndicate, the Qatar-funded London-based pan Arab newspaper Al-Araby Al-Jadeed, the Beirut-based press freedom group SKeyes, and the Cairo-based independent website Daaarb."
100,Ahmed Jamal al-Madhoun,"Al Madhoun, a Palestinian journalist and deputy director of the local newspaper and news agency Al-Rai and the director of visual content at the agency, was killed in an Israeli airstrike on northern Gaza, according to the  Quds Network, the Qatar-funded London-based pan Arab newspaper Al-Araby Al-Jadeed, and Anadolu news agency."
101,Muhammad Abdalkhaliq Alaf,"Al-Iff, a Palestinian journalist and photographer for the local newspaper and news agency Al-Rai, was killed in Israeli airstrikes on Gaza City, northern Gaza, along with an unspecified number of family members, according to the Beirut-based press freedom group SKeyes, the Qatar-funded London-based pan Arab newspaper Al-Araby Al-Jadeed, and the  Quds Network. Al-Iff’s cousin, journalist Mohamed Azzaytouniyah, was killed in the same strikes, according to a tweet by Al-Iff’s cousin Hammam."
102,Muhammad Yunus al-Zaytouniyah,"Azzaytouniyah, a Palestinian media worker and a sound engineer for the local radio Al-Rai was killed in Israeli airstrikes on Gaza City, northern Gaza, along with unspecified number of family members including his father, according to a tweet by his brother Hammam, the outlet, the Qatar-funded London-based pan Arab newspaper Al-Araby Al-Jadeed, and the  Quds Network. His cousin, journalist Mohamad Al-Iff, was killed in the same strikes."
103,Muhammad Khair Addeen,"Khaireddine, a Palestinian journalist who worked for the  Al-Aqsa TV, was killed in an Israeli airstrike on his family home in Beit Lahiya, northern Gaza, along with 12 family members, including his nephew Ahmed Khaireddine, according to the broadcaster Palestine Today, the Palestinian Journalists’ Syndicate, and Al-Jazeera."
104,Ahmed Khair Addeen,"Khaireddine, a Palestinian journalist and a cameraman for the  Quds Al-Youm TV, and a reporter for the  Quds feed, was killed in an Israeli airstrike on his family home in Beit Lahiya, northern Gaza, along with 12 family members, including his uncle Mohamed Khaireddine, according to the broadcaster Palestine Today, the Palestinian Journalists’ Syndicate, and Al-Jazeera. Khaireddine’s brother, Basil, who was a reporter for the Palestine Today broadcaster, spoke about his brother’s killing to the channel, in a video that spread virally. Basil said that Ahmed wanted to take a day off work for the first time in 82 days and didn’t want to leave the house to report when Basil asked him to go with him, adding: “He wanted to rest, but apparently his rest was forever.”"
105,Jabr Abu Hadaros,"Abu Hadrous, a Palestinian journalist and a reporter for the  Quds Al-Youm broadcaster, was killed in an Israeli airstrike on his home in Nuseirat refugee camp, northern Gaza, along with seven members of his family, according to Al-Jazeera, Hezbollah-affiliated Al-Mayadeen, and the privately owned government-affiliated Al-Ghad newspaper in Jordan."
106,Ikram al-Shafi'i,serious injury he sustained during an Israeli siege of Al-Shifa Medical Complex in Gaza City
107,Hamzah Wael Aldhdoh,"Al Dahdouh, a Palestinian journalist and camera operator for Al-Jazeera, and the son of Al-Jazeera Gaza bureau chief Wael Al Dahdouh, was killed in an Israeli drone strike along with freelance journalist Mustafa Thuraya. They were driving to an assignment in southern Gaza when the strike occurred, according to Al-Jazeera and the BBC."
108,Mustafa Thraia,"Thuraya, a Palestinian freelance videographer working for Agence France-Presse (AFP), was killed in an Israeli drone strike along with  Al-Jazeera journalist Hamza Al Dahdouh. They were driving to an assignment in southern Gaza when the strike occurred, according to Al-Jazeera, BBC, and AFP."
109,Ali Salem Abu Ajwa,bombed in Gaza City
110,Abdullah Bares,
111,Muhammad Abu Dayra,
112,Ahmed Badir,"Bdeir, a Palestinian journalist working for the local news website Bawabat al-Hadaf, was killed in an Israeli airstrike in Khan Yunis, close to the Aqsa Martyrs hospital. Bdeir was standing in front of the journalists’ tent at the hospital gate and died when a shrapnel hit him, according to Al-Jazeera, The New Arab, and the Beirut based press freedom group SKeyes. His outlet said that he worked relentlessly during the war to cover the news. Bawabat al-Hadaf is affiliated with The Popular Front for the Liberation of Palestine."
113,Sharif Akasha,
114,Heba Alabdlah,
115,Fawad Abu Khamish,
116,Muhammad Althalatheeny,"Al-Thalathini, a Palestinian journalist who worked for the  Al-Quds Al-Youm broadcaster, was killed in an Israeli airstrike on his home in south Gaza, according to the  Al-Aqsa Voice Radio, the broadcaster Palestine Today, and the Qatari-funded newspaper Al-Araby Al-Jadeed."
117,Yazin Alzoidi,"Al-Zuweidi, a Palestinian journalist and camera operator for the privately owned Cairo-based broadcaster Al-Ghad, was killed, along with his brother and cousin, in an Israeli airstrike on Beit Hanoun in northern Gaza while al-Zuweidi was on his way to see what happened to his home in the aftermath of heavy bombing, according to his employer, the Beirut based press freedom group SKeyes, The New Arab, and the Palestinian Journalists’ Syndicate. Al-Zuweidi, 27, had been working with Al-Ghad for six years, and covered the war and various other events in Gaza, according to the broadcaster. Al-Ghad said that Al-Zuweidi didn’t stop reporting on the ongoing war; he kept filming from northern Gaza and sending footage to the channel after it was impossible for him to evacuate south to Rafah."
118,Wael Rajab Abu Fanonna,Director General of Al-Quds Al-Youm Satellite Channel May
119,Eyad Ahmed Alrawagh,"El-Ruwagh, a Palestinian journalist who worked as a host for the  Al-Aqsa Voice Radio, was killed in an Israeli airstrike on Nuseirat camp in northern Gaza, along with four of his children, according to multiple media reports, a tweet by his outlet, the Palestinian Journalists’ Syndicate, and the Beirut-based press freedom group SKeyes. El-Ruwagh was buried on January 26, according to Al-Jazeera. Prior to his death, he posted on Facebook about his family’s dire conditions, asking for someone who was leaving Gaza to take his toddler to his wife, who fled to Sinai, Egypt, with his son Mohamed following a previous airstrike that severely injured him. After El-Ruwagh’s death, his wife published Facebook posts about him and her slain children: Loay, Nada, Yazan, and the toddler, Ahmed."
120,Essam al-Loulo,Broadcaster and program presenter on Palestine TV
121,Muhammad Abdal-fattah Aataallah,"Atallah, a 24-year-old Palestinian editor for the local Al-Resalah news website and a writer for the regional independent website Raseef22, was killed in an Israeli airstrike on Beach refugee camp in northern Gaza City, along with an unidentified number of family members, according to a tweet by Raseef22 that included his last voice message, the local news agency Safa, the Palestinian Journalists’ Syndicate, and the International Federation of Journalists. Ayman Sharrouf, Raseef22’s political editor, told CPJ that Atallah “wrote for Raseef22 under his name and another pseudonym. He was particularly interested in the daily life stories of the Gazans, despite the siege on Gaza, the corruption, and the narrow political interests in the strip. When the war started, we started collaborating, and he wrote 3 pieces, but he lived in the north where there was intense bombing, and one of the Israeli airstrikes hit his parents’ house, which killed one of his brothers and all of his family members. Sharrouf told CPJ that “Atallah evacuated after surviving a lot of near-death situations. In his last correspondence with us, he told me that he’s safe and he wants to resume working soon, but I later learned about his death from the news.” Sharrouf added, “Mohammed was a very professional journalist. He wanted to relay the voices of the people. He worked hard on his pieces and was very keen on factual reporting of the daily life of Gaza’s people, despite all the challenges that a journalist like him faces. Unfortunately, he was killed before he got to do what he wanted in journalism; and the most horrific heartbreaking part was that he thought he would survive.”"
122,Dr. Rizq Alghrablai,"Director of the Palestinian Information Center in the Gaza Strip, killed as a result of the continuous targeting and bombing by the “Israeli” occupation of citizens’ homes in the Khan Yunis Governorate (south of the Gaza Strip)"
123,Nafath Abd al-Jawad,"Journalist at Palestine TV, killed as a result of the targeting and continuous bombing by The ""Israeli"" occupation of citizens' homes in the Central Governorate"
124,Alaa Hassan Alhmus,Journalist at Sanad News Agency and other media sites
125,Angham Ahmed Adwan,Journalist at the Libyan February Channel
126,Dr. Zaid Abu Zaid,"Director of the Holy Quran Radio - Islamic University, who was martyred in the bombing of a house in the Nuseirat camp, along with his wife and children"
127,Yasr Mmdoh, 
128,Muhammad Raslan Shanyoura,
129,Mahmoud Moshtaha,
130,Muhammad Tishreen Yaghi,"photojournalist with several media outlets, was martyred in the bombing of a house in Al-Zawaida along with his family"
131,Musab Abu Zaid,"broadcaster and presenter on the Holy Quran Radio, was martyred in the bombing of a house in the Nuseirat camp with his family."
132,Muhammad Khidr Salama,"broadcaster and journalist on Al-Aqsa Satellite Channel, was martyred in the bombing of a house in the city of Deir al-Balah in the Central Governorate"
133,Muhammad Alrifi,"a photojournalist with several media outlets, was martyred as a result of his injury at the Kuwait Roundabout, southeast of Gaza Cit"
134,Abdalrahamun Saymaa,
135,Dr. Mahmoud Emad Issa,
136, Abdul-wahab Aoni Abu Aun,"the photojournalist and editor, along with several media outlets, who were martyred in the occupation’s bombing of their home in the Maghazi camp in the center of Gaza Strip"
137, Muhammad Abu Sakheel,"head of the editing department at the “Shams News” Foundation, was martyred during the crime of storming the Al-Shifa Hospital complex. Medical"
138,Muhammad Alsaid Abu Sakheel,"broadcaster and editor at Sawt Al-Quds Radio, who was martyred during the crime of storming the Al-Shifa Medical"
139,Tariq Alsaid Abu Sakheel,"a digital editor at Voice of Jerusalem Radio, was martyred during the crime of storming the Al-Shifa Medical Hospital complex"
140,Muhammad Bsam Aljml,Killed in bombing of his house in Rafah Governorate
141,Mustafa Aiad,"Worked as a photojournalist for several media outlets. He was killed in the occupation’s bombing of the Al-Zaytoun neighborhood, south of the city"
142,Bhaa Akasha,"Photojournalist for Al-Aqsa Network. Killed in the bombing of his home in Jabalia camp, north of the Gaza Strip, where his wife and children were also killed."
143,Ha'il al-Najar,Al-Aqsa Media Network editor
144,Mahmoud Jhajoh,Photojournalist for the Palestine Post website
145,Muatz Mustafa Alghufari,Photojournalist for the Ard Canaan website and the Palestinian Media Corporation
146,Aamina Mahmoud Hamaid,Program presenter and journalist editor in a number of media outlets.
147,Abdullah Ahmed Aljml,Editor and journalist at Palestine Now Agency
148,Ahlam Azat al-Ajlah,A journalist in the Family Happiness magazine
149,Dina Abdullah Albtaniji,Journalist at Al-Thuraya Media Foundation
150,Mahmoud Qasam,Journalist at Palestine newspaper and its website “Palestine Online”
151,Saleem Alshrafa,Program presenter and media personality on Al-Aqsa satellite channel
